InvoiceNo,ExtractedText
10,"[', New No. 129, Old No. 64, (3rd Floor), No 4 6 6', ', New No. 129, Old No. 64, (3rd Floor), No 4 6 6', ', New No. 129, Old No. 64, (3rd Floor), No 4 6 6']"
11,"['O i oO 2 rots e ame Beane', 'jm 1 Of! & j 2M £', 'jm 1 Of! & j 2M £', '< f SoS 2 eS', 'Oo 5 i: c 8']"
12,"['2 | §8 Bs', '. 2 bo 5 3E ax? xs', 'Lu © ce ity Zz 3 mer >', 'Q, ez : BSle § SO ¥ Ze 2', 'cd ce] 2 i i/s3 a 8']"
13,"['ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', 'ENTERPRISE PTE LTD ENTERPRISE PTE LTD 53 Ubi Ave 1,#03-39 &', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '53 Ubi Ave 1,#03-39 & #03-40,Paya Ubi Industrial Park', '#03-40,Paya Ubi Industrial Park 408934 Singapore', 'IBvRoad ___————__|Set Towers, 101,Ground Floor 8-2-269/10,Road No. 2, Banjara Hills,Hyderabad # 540', 'IBvRoad ___————__|Set Towers, 101,Ground Floor 8-2-269/10,Road No. 2, Banjara Hills,Hyderabad # 540', ""Amara Raja Batteries Ltd. 10 Wooden Pallets Stuffed in to 1x20' LeadAcidStorageBatteriesofalltypes-"", 'TCKU 325271-1 BVKS 00683 EAM-HL-O0BH85D23L 576 42.02 24,203.52', 'TCKU 325271-1 BVKS 00683 EAM-HL-O0BH85D23L 576 42.02 24,203.52', 'P.1 1600800837 DT 21.02.2017', '3 (ups 14]']"
14,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', 'INV.VALUE: |6,003,887.04 Gr.Wt 39286 KGS', '1 CFS Charges (Rs.1840------CWC) 1,840.00', '2 Fumigation Services Charges (Rs.100.00) 100.00', '5 Documentation Charges 300.00', '6 .-* [Customs Inspection/Examination Charges (Rs.600x02) 1200.00', '9 % Swachh Bharat Cess @ 0.5% 18.00', '4 3 Krishi Kalyan Cess @ 0.5% 18.00']"
15,"['- 07. | EKN-AB-HC700H29R___| Module type: HC700H29R_ | 01 | 48 | 48 |', '- 07. | EKN-AB-HC700H29R___| Module type: HC700H29R_ | 01 | 48 | 48 |', '0 FF 10']"
16,"['Amara Raja Batteries Limited [1700200009 _D106.042017 7200004302', 'PO Box No 84405 - 80100 PO Box No 84405 - 80100', 'PO Box No 84405 - 80100 PO Box No 84405 - 80100', 'MRKU 720451-9 BVKS 00691 EAM-HW-HC620D31R 7 eer 55.28 7,960.32', 'MRKU 720451-9 BVKS 00691 EAM-HW-HC620D31R 7 eer 55.28 7,960.32', 'MRKU 720451-9 BVKS 00691 EAM-HW-HC620D31R 7 eer 55.28 7,960.32', 'MRKU 757487-4 BVKS 00692. EAM-HW-NTISOFSIR 48 83.43 4,004.64', 'MRKU 757487-4 BVKS 00692. EAM-HW-NTISOFSIR 48 83.43 4,004.64', 'PI No. 1600800861 Dt 01.03.2017', '2 y os se Fs Lo | of ]']"
17,"['LEO Date: 07/04/2017 LEO No : 2/266 sq am', 'Branch # 0 RENIGUNTA CUDDAPAH RD PO BOX NO: 84404 - B0100°° 3 4¥', '- 517520 KENYA aE,', 'Port of Discharge:Mombasa Loose pekta : 0 F eA', 'Rotation No. 2125331 Rotation Date > .30/03/2017', 'AD. Code :6450011 DBK Bank a/c No:# 2 ” ©', 'Inv.no. :1700200009 Inv DE >06/04/2017 ‘', 'Ineurance 0.00 UsD* 65.00 : )', 'Discount: 0.00 ey 0.00', 'Packing Charges: <- usD 0.00']"
18,"['Invoice No & Date 1700200009 06/04/2017 Exch. Rate 1.00 usD = 647500 It', '144.000NO0S 55.28000perl NOS 7960.32000 42° 508249728 o3', '60.000NOS 64.02000perl1 NOS 3044 - 2908"" 243605.02 03', '’ 600.000NOS 33.40000perl NOs 26720 .00000 1695945.04 03']"
19,"['Invoice No & Date 1700200009 06/04/2017 Exch. Rate 1.00 USD = 647500 It', '90.000NOS 51.76000perl1 NOS 4656.40000 EF 295673 -45 03', '160.000NO0S 51.76000perli NOS 9316 «680000 . “BSLS 46.91 03 ’', '160.000NO0S 51.76000perli NOS 9316 «680000 . “BSLS 46.91 03 ’', '360.000NO0S 45 .35000perl1 NOS 1686 -2eere 1036227.77 o3 :', 'Advance License 3217.58° > 217.58 Yee', '36.0G0NOS 51.47000perl ~— NOS 1852.92000 117606.73 Q3']"
20,"['Invoice No & Date 1700200008 06/04/2017 Exch. Rate 1.00 USD - 687500 zt', 'Invoice No & Date 1700200008 06/04/2017 Exch. Rate 1.00 USD - 687500 zt', '36.000NOS 51.47000perl NOS 18652.92000 ye 117606 -7 03', '36.000NOS 51.47000perl NOS 18652.92000 ye 117606 -7 03', '46.000NOS 72.86000per1 NOS 3498.24000. “222036.61 03 4', '32.000NO0S 101.14000perl1 NOS 3235, 5688, 205422 .43 03', 'Aa@vance License 7175.88 Xa 075 768 vee']"
21,"[', 0410162665 UruuuuEles 2 MRORANENI 252)', ', 0410162665 UruuuuEles 2 MRORANENI 252)', '1 £ Zz: 144.000 NOS 505249.26 =. — ]', '1 £ Zz: 144.000 NOS 505249.26 =. — ]', 'i 13 2 32.000 NOS 205422 .43%.:, “20>”', ""; 1 1 1 144.000 NOS 505249.28 . ~'"", 'e TROLLS OF BATTERY SEPERATORS 2 254.920 SQM Imp ey', '+PURE LEAD 1 531.710 KGS Imp >', 'e 2. 2 x 46.000 NOS 254176.47', '1 2 1 48.000 NOS 254176.47', '1 3 2 60.000 NOS 243605.02', 'z 3 1, - 60.0002?"" "" NOS 243605.02', '2 3 1 60.000:*"" —“}NOS 243805.02', '% a 4 i s00.0D0 NOS 1695945.04', '2 4 1 ‘600.000 5 NOS 1695945.04', 'z 4 x, 800.000 NOS 1695945.04', '’ 1 5 ca 200.000 NOS 346678.71', '’ 1 5 ‘ 1 200.000 NOS 346676.71']"
22,"['i 6 . eulud SR OBRe 22su+ PTA Abe Ts ae a', '1 6 2 90.000 NOS 295673.45 ~ Le', '2: 6 2, 90.000 NOS 295673.45 4', 'x 7 1 180.000 NOS 591346.91 e', '+PURE LEAD 1 1277.120 KGS Imp*  -. 3', '1 z x 180.000 NOS 591346.91 o', '1 8 i 360.000 *- NOS. 1936227.77', '2 6 i: 360.000 S 1036227.77', '1 9 1 96.000"" “NOS 276327.37', '2 9 1 96.00D . NOS 276327.37 :', '2 9 i “96.000 NOS 276327.37', 'z lo 1. . 36.000 NOS 117606.73', '2 10 4 36, 000 NOS 117606.73 ,', '1 10 1?9436 .000 NOS 117606.73', '1. cl Se 2 36.000 NOS 117606.73 -', '1. cl Se 2 36.000 NOS 117606.73 -', '2 LE Tee 36.000 NOS 117606.73', '2 LE Tee 36.000 NOS 117606.73']"
23,"['a 12 x 48.000 NOS 222036.62 “ws a', '2 12 a 46.000 NOS 222036.61 ae”', '| +LEAD CALCIUM ALLOY 2 326.960 Kes Imp 4 A,', '1 12 2: 46.000 NOS 222036.61°.', 'a +ROLLS OF BATTERY SEPERATORS 3 100.750 SQM Imps. “15', '+PURE LEAD 1 449.150 KGS Imp >', '| @ 2 a as 32.000 NOS. 205422.43', 'a 1 1 144.000 “NOS 505249.28', '‘| MRKUIS74674°7 20 BVKS 00692,¢ /06-APR-17', '{ MRKU7 204519 20 BVKS 00691 > /06>APR-17', '% 1 3 Appendix III with 5c declaration', 'os 5 2 - Appendix III with 5¢ declaration', '‘ 1 6 Appendix III with 5c Gecliaration x', ""1. 7: , Appendix III'with 5c G@eclaration"", '2 2 . Appendix III with 5C declaration', '2 10 Appendix III with 5c declaration', 't i 12 : Appendix III with 5C declaration', '1 13 ‘y Appendix III with 5C @eclaration']"
24,"['1 4 Auveuce Titec. fen >', 'i 10 Advance licence ae', '- - Appendix II with 1A/1B declaration ¥', 'a. 2 Appendixn/III with 5C declaration nae: 2', '1 2 Appen¢ II with 5C declaration,']"
25,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', 'SB.NO: 5258043/06.04.17 PKg/PLT }20 Pallets', 'INV.VALUE: |6,003,887.04 Gr.Wt 39286 KGS', '1 CFS Charges (Rs.1840------CWC) 1,840.00', '“2 Fumigation Services Charges (Rs.100.00) 100.00', '3 Certificate of orgin charges (Rs.150x1) 150.00', '5... [Documentation Charges 300.00', '6¥ Customs Inspection/Examination Charges (Rs.600x02) ‘ 1200.00']"
26,"['Tz, =F I2 Ss 3 ot 8 ry', '5 aie & 3', '< 2B) 2 38\\ 28 %', '2. Re @ & 23 oe 38', 'os 4: a- 84 3 Bee 88 * ga', 'os 4: a- 84 3 Bee 88 * ga', 'ry} n@® = 2 woe & ES i 8', '; <|5 Raz 22 ia Ba 8 w 3', '; <|5 Raz 22 ia Ba 8 w 3', '; <|5 Raz 22 ia Ba 8 w 3', '2|3\\35% Ba Bs s > Zz a', 'S\\0 ; 3g © 2 B ne']"
27,"['z 2/8 8 18] ne S/.', '* 6 BOF 5', 'atts | 8 o|c2 5 3', 'el 2 ESle8 3', 'e ig) § f3| 3 ’', 'e 5 g 8° % G@ook 2 gis |', 'e 5 g 8° % G@ook 2 gis |', '. EM 2/8 “EERE a 23', 're ; 08 es 3']"
28,['of esa ee Chennai f gerne']
29,"['New No. 129, Old No. 64, (3rd Floor), No a']"
30,"['Pa S 2 rime Ff 25 os ? =', 'Rid |. Sele tic Fok 8', '< i 3 iRualeS 2 xg Se', 'p4 < : oe oc ef ox', '= Ei& :| 0 NX kA', 'Oo << Q: ¥ ~ .', '$ <s&82 : ‘68 S 8', '$ <s&82 : ‘68 S 8']"
31,"['bf 8 SoS: 52 a Dasds', '9 SrS<: ga %& s| §']"
32,"['Amara Raja Batteries Limited [1700200009 pr06.04.2017 7200004302,', 'PO Box No 84405 - 80100 PO Box No 84405 - 80100', 'PO Box No 84405 - 80100 PO Box No 84405 - 80100', '1120X970X1470 3 2,087.00 6,261.00 1,962.00 5,886.00 MRKU 757487-4']"
33,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', '4 Karakambadi, Tirupati, A.P India - 517520 F.NO. 005/2017-18.', '4 Karakambadi, Tirupati, A.P India - 517520 F.NO. 005/2017-18.', 'BE NO:- 9298124/13.04.17 PKG 1 Pallet', '1 Streamer Agent charges (Rs.11787.00)---Synergy 11,787.00', '3 Documentation Charges - 0.00', '4 Assessement & Examination Charges (Rs.500x01) 500:00', 'Swachh Bharat Cess @ 0.5% 0 TA 12.00', 'Krishi Kalyan Cess @ 0.5% oa e 12.00']"
34,['Receipt No. : 1245 Date : 19/04/2017']
35,"['TYPE: S2-A1-62.2MM/S2-A2-57.4MM/S2-A2-62.2MM', 'TYPE: S2-A1-62.2MM/S2-A2-57.4MM/S2-A2-62.2MM', '10,000 PCS USD 0.128 USD 1,280.00', '10,000 PCS USD 0.128 USD 1,280.00', '10,000 PCS USD 0.128 USD 1,280.00', '10,000 PCS USD 0.128 USD 1,280.00', '10,000 PCS USD 0.128 USD 1,280.00', '10,000 PCS USD 0.128 USD 1,280.00', 'TOTAL: 24 CTNS 30,000 Pcs TOTAL CIF VALUE: USD 3,840.00']"
36,"['4\\NDHRA PRADESH; INDIA . TEL:00 91 44 39 88 25 25 FAX:00 91 44 3077 24 05', '4\\NDHRA PRADESH; INDIA . TEL:00 91 44 39 88 25 25 FAX:00 91 44 3077 24 05', 'ORDER NO.:INAMR- | 1PALLET =| CHARGE EYE INDICATOR (HYDRO METER) - 133 504 | 195.9800 KGS] 0.9120 CBM :', 'YPE: S2-A1-62.2MM/S2 | _ 00003 -', '~A2-57.4MM/S2-A2- 1PLT=24CTNS']"
37,"['qc) Importer Details : 0988006723 PAN : AABCA9264EFTOOI AD Code : 4450011', 'c BL No : MNOLU130207346883 H/BL No > ANIGL170077756A ee.', '| Date : 25/03/2017 Date » 28/03/2017 in, ah eee', 'Mo. Of pres: : 1 PLT Grass Wt. 195.980 KGS 225%,', 'Mo. Of pres: : 1 PLT Grass Wt. 195.980 KGS 225%,', 'EDD 0. 00 XBE- Duty FG Int. : “0. 000,', 'ae 10000. 00 ©. 128000 90258090 ata a 7.50 % 6389. 70', 'PCS G5195.5e ° 90258090 VERE E Dieeeteyy 12.50 % 11448.10', 'a Rs. 85195. 52 Gage Total Rs. 22515. 70']"
38,"['PCS 85195. S2 70258090 12.50 % @ A¥94g. 20°.', 'PCS 85195. S2 70258090 12.50 % @ A¥94g. 20°.', 'Customs Sec & ane Edu. Cess : 1.00 % 4 gu 8 1 Ae. 40', 'Customs Sec & ane Edu. Cess : 1.00 % 4 gu 8 1 Ae. 40', 'Addl ved = ted : 0919/2006 4.00 Hie"" ""8142. 70', '3 90258090 CHARGE EYE INDICATOR (HYDRO METER}133-S04-00003 (PF 7. ay', 'PCS 85195. 52 90258090 1260 4 rr 11448. 10', 'Addl Buty - (Imports) : 01972004 AP ABOO 1 4142.70', 'Addl Buty - (Imports) : 01972004 AP ABOO 1 4142.70', 'Rs. 255586. 56 Page Total) ""3 Rs. 67547. 10', 'Rs. 255586. 56 Page Total) ""3 Rs. 67547. 10', 'Rs. 255586. 56 RE Gross Totaly, “ ="" 2¢) Rs. &7547.16', '. BCD Rs. 191469. 10 NCD py Go ca Rs. 0.00', 'ANTID Rs. %. 00 SAFEGUARD Duty. >. Rs. 6. OG ,', 'CYD Rs. 34344. 30 Sch 2 Splakxcise Duty Ks. 9.00 . ;', 'CYD Rs. 34344. 30 Sch 2 Splakxcise Duty Ks. 9.00 . ;', 'CESS Rs. 0. 00 GSIA “a 2 Rs. 0.00', 'CESS Rs. 0. 00 GSIA “a 2 Rs. 0.00', 'Edu. Cess CVD Rs. 0. 00 CustogsfEdu. Cess Rs. 1070. 40', 'eth Sat See es Se RE am a te se ; Rea', '1 2162245 L SEGUIS92916 fie =', 'o0C Given By: [erudh sf es! “ oo? 7) Examined Buy: ¢']"
39,"['CHENNAI-600 001.Ph:044-25242393 Fax:044-43517120', 'Karakambadi, Tirupati, A.P India - 517520 F.NO. 005/2017-18.', 'BE NO:- 9298124/13.04.17 PKG 1 Pallet', '1 Streamer Agent charges (Rs.11787.00)---Synergy 11,787.00', '3 _|Documentation Charges 300.00', '4 . ~ |Assessement & Examination Charges (Rs.500x01) * , 500.00']"
40,"['Phone # ; +91 44 39882525 Fax # :+91 44 30772405 :', 'Vessel :  NYK PAULAV 154 Date : 13/04/2017', 'DELIVERY ORDER CHARGES 1,000 BL INR 3,500.00 1.00 525.00 4,025.00', 'DELIVERY ORDER CHARGES 1,000 BL INR 3,500.00 1.00 525.00 4,025.00', 'DOCUMENTATION CHARGES 1.000 BL INR 1,500.00 1.00 225.00 1,725.00', 'DOCUMENTATION CHARGES 1.000 BL INR 1,500.00 1.00 225.00 1,725.00', 'LCL CHARGES 1.000 CBM INR 1,300.00 1.00 195.00 1,195.00', 'LCL CHARGES 1.000 CBM INR 1,300.00 1.00 195.00 1,195.00', '| LINER CHARGES 1.000 BL INR 1,000.00 1.00 150.00 1,150.00', '| LINER CHARGES 1.000 BL INR 1,000.00 1.00 150.00 1,150.00', 'RUPEE DEPRECIATION SURCHARGE 1,900 BL INR 2,132.00 1.00 319.14 2,451.14', 'RUPEE DEPRECIATION SURCHARGE 1,900 BL INR 2,132.00 1.00 319.14 2,451.14', 'TRANSPORTATION BY ROAD 1.000 CBM INR 900.00 1.00 UF50 940.50', 'TRANSPORTATION BY ROAD 1.000 CBM INR 900.00 1.00 UF50 940.50', 'TRANSPORTATION BY ROAD 1.000 CBM INR 900.00 1.00 UF50 940.50']"
41,['/ Ph +91 44 39882525 / Fax +91 44 30772405 —']
42,"['. Phone # : +91 44 39882525 Fax # :+91 44 30772405 ¥', 'Vessel :  NYK PAULA V 154 Date : 13/04/2017 MG', 'DELIVERY ORDER CHARGES 1.000 BL INR 3,500.00 1,00 525.00 4,025.00', 'DELIVERY ORDER CHARGES 1.000 BL INR 3,500.00 1,00 525.00 4,025.00', 'DOCUMENTATION CHARGES 1,000 BL INR 1,500.00 1,00 225,00) 1,725.00', 'DOCUMENTATION CHARGES 1,000 BL INR 1,500.00 1,00 225,00) 1,725.00', 'LCL CHARGES 1.000 CBM INR 1,300.00 1.00 195.00 1,495.00', 'LCL CHARGES 1.000 CBM INR 1,300.00 1.00 195.00 1,495.00', 'LINER CHARGES 1.000 BL INR 1,000.00 1,00 150.00 1,150.00', 'LINER CHARGES 1.000 BL INR 1,000.00 1,00 150.00 1,150.00', 'RUPEE DEPRECIATION SURCHARGE 1.000 BL INR 2,132.00 1.00 319.14 2,451.14', 'RUPEE DEPRECIATION SURCHARGE 1.000 BL INR 2,132.00 1.00 319.14 2,451.14', 'TRANSPORTATION BY ROAD 1.000 CBM INR 900.00 1.00 40.50 940.50', 'TRANSPORTATION BY ROAD 1.000 CBM INR 900.00 1.00 40.50 940.50']"
43,"['enpeeecrmearee easel eee ae) Rae eee Ph +91 44 39882525 / Fax +91 4430772405 ee,', 'Receipt #: MAVBR/04/151 AraAADADAIADATTECDICCITN .©~—— 1D: 278453']"
44,"['1 Storage Charges 550.00', '2 Aggregation Charges 450.00', '3 Handling Charges 1200.00', '4 Power Surcharge 250.00', '5 FuelSurcharge 350.00', '6 Insurance Charges 500.00', '8 Documentation Charges 500.00', '9 RFID Monitoring Charges 25.00', '10 Service Tax @14.00% 564.00', '11 Swachh Bharat Cess @0.50% 21.00', '12 Krishi Kalyan Cess @0.50% 21.00', ""Container No: SEGU 159291-6 20' Packages: 1 PLT/C Debit"", 'Line : 282-2 Gr.Wt.: 195.98 Kgs Customs Doc: Submitted', 'Destuffed: 15.04.2017 Grid: 1 WO No: 2041', 'Destuffed: 15.04.2017 Grid: 1 WO No: 2041']"
45,['Receipt No. : 1245 Date : 19/04/2017']
46,"['1 Storage Charges 550.00', '2 Aggregation Charges 450.00', '3 Handling Charges 1200.00', '4 Power Surcharge 250.00', '5 FuelSurcharge 350.00', '6 Insurance Charges 500.00', '8 Documentation Charges 500.00', '9 RFID Monitoring Charges 25.00', '10 Service Tax @14.00% 564.00', '12 Krishi Kalyan Cess @0.50% 21.00', ""Container No: SEGU 159291-6 20' Packages: 1 PLT/C Debit"", 'Line : 282-2 Gr.Wt.: 195.98 Kgs Customs Doc: Submitted', 'Destuffed: 15.04.2017 Grid: 1 WO No: 2041', 'Destuffed: 15.04.2017 Grid: 1 WO No: 2041']"
47,"['Gr.SCM (EXIM 0 1 190 \\> Date: | 16-Oct-17', 'TOTAL | 56,613 | 56.613 OT', 'vncomaes ante: | 10 vol Lowa rser-ni Received smal aoaug tr] Bilprocenea dete by 0M __— | 08']"
48,"['XGS 1002544 33 NOEXCISE 0.00% g. “0. 00', 'XGS 1002544 33 NOEXCISE 0.00% g. “0. 00', 'Educational C@ss on cups : 0.00 ¢§ ie. 2 O00', 'SST Ces, 001/201) §¢ oS 0.00', '3 85079019 BAIIERy SEPARATOR (AGM SEPARAIOR ; (2.02 %.195-: ld.', '524000 2.800000 §5079010 30/2013 498 ge v0 & 50127. 29', 'KGS 1002544. 34 NOEXCISE oF"" Metin. 0.00', 'See ¢ Higher Edy. f@55 on cyp : ” x 9 Lan 0.00', 'Customs Educationa) Cess . . 4-00 ¢ 1002.50', 'IGsr 0901/2013 rVAL39). 28.00 ¢ 295169 9', 'IGsr 0901/2013 rVAL39). 28.00 ¢ 295169 9', 'SST Cess O01/g b/ 56 ~~ 0-00 t 0.00', 'BCD Rs. 150381 69 NCOgDyty Rs. 0.00', 'ANTID Rs. 0.00 SRFEGUARD - y Rs. 0.00', 'cyoD Rs. 0.00 Sch 2 tn) ise Duty Rs. 0.00', 'cyoD Rs. 0.00 Sch 2 tn) ise Duty Rs. 0.00', 'Edu. Cess cyp Rs. 0.00 Customs Egy. Cess Rs. 3007.55', '4@alth cyp Rs. 0.00 ‘Sty Addl Duty -~ ‘Imports; Rs. 0.00', 'i 217101¢ F TGHO9330743 2 2171018 Fr WHLOS 439433 3 2i7101g F WHLOSS34365', 'i 217101¢ F TGHO9330743 2 2171018 Fr WHLOS 439433 3 2i7101g F WHLOSS34365', 'i 217101¢ F TGHO9330743 2 2171018 Fr WHLOS 439433 3 2i7101g F WHLOSS34365', 'i 217101¢ F TGHO9330743 2 2171018 Fr WHLOS 439433 3 2i7101g F WHLOSS34365', 'WH 2001265aq9° 3124207 g 0 3121207 0', 'SIRABCAS26 EI 26 & 37 ANoHRA PRADGE 3162526 885507 G', '99C Given By: <MANISH 4 Ooo“aRy 4 AUG au NAI-1. °) Examined By: { b at CHI Ob he', '99C Given By: <MANISH 4 Ooo“aRy 4 AUG au NAI-1. °) Examined By: { b at CHI Ob he', '99C Given By: <MANISH 4 Ooo“aRy 4 AUG au NAI-1. °) Examined By: { b at CHI Ob he', 'QA SHEAR T AM Cot F | 20 | Bg (€', '4 D.P. 08/2017 03:49 Pay']"
49,"['3 |Po oe ___ [1200007777 ee', '3 |Po oe ___ [1200007777 ee', '—— eS i SS en', '| 5 JETTA Chennai 02.08.2017', '7 | Bill of Lading No. BJSS 10657 _', '8 Exchange Rate 1 USD = Rs.65.29 ”', '1 rn esi pre', 'Exbonding documentation (8E Filing) BE 300 | 0 | st 300 /', 'Exbonding documentation (8E Filing) BE 300 | 0 | st 300 /', '| 23 fn chee ae ee py 3,000] 3,000 py 1,500 1,500', 'archouse Storage Charges Per Sq.Mtr / Per Week 90x50x4 18,000 | 18,000 | 90x50x4 18,000 18,000', '(Minimum 4 weeks) 30 SQMUxrsSOx4Tax oa ‘ . .', 'a INR 105,466 INR 96,280', 'GRAND TOTAL (Total A+B+C) INR 123,566 INR 110,430', 'Per Container amount INR 41,189 INR 36,810', '(Hi) storage - Rs.SOper samt Per week, space for 49 feet 30sqmts.minimum 4 weeks therefore RS.SOx30x3contxqweeks', '(Hi) storage - Rs.SOper samt Per week, space for 49 feet 30sqmts.minimum 4 weeks therefore RS.SOx30x3contxqweeks']"
