docNo,items
116,"['AMARA RAJA --- PERSON', '30.10.2018 --- CARDINAL', '6 --- CARDINAL', 'Invoice No: 4514000359 --- INVOICE', '10.10.2018 --- CARDINAL', 'AMC --- GPE']"
117,"['fe Se Cell --- ORG', '9866236285 --- CARDINAL', 'Works --- ORG', '2/71 --- CARDINAL', 'Ekambarakuppam --- GPE', 'Nagiri Mandal --- GPE', 'Chittoor Dist --- PERSON', 'Branch : # --- BRANCH', 'Korlagunta --- GPE', 'Tirumala --- PERSON', 'Tirupati --- GPE', '501 --- CARDINAL', '147 --- CARDINAL', '-752 o00 --- PERSON', 'l20l& --- ORG', 'ANAM --- ORG', 'ABD --- PERSON', 'SST --- ORG', 'NoSt --- PRODUCT', 'FRAT --- ORG', 'cccccccccccceee\n --- PERSON', '45 --- CARDINAL', 'Spshol\n --- PERSON', '33 --- CARDINAL', 'keb --- ORG', '5 --- CARDINAL', 'Chong --- GPE', '1 --- CARDINAL', 'Keo\n --- ORG', '195 --- CARDINAL', '1 --- CARDINAL', 'QYO-\n --- ORG', '1 500 --- PERCENT', 'Vso\n --- ORG']"
118,"['ESSELL CABLES & oo --- ORG', 'SS --- ORG', 'ISO --- ORG', '2008 --- DATE', 'ES ey\n --- ORG', '24S --- CARDINAL', 'ED Bo\n --- PERSON', 'ES ey oe bom ee --- ORG']"
119,"['Sri Ramajayam | | --- EVENT', '592 --- CARDINAL', 'a.\n --- ORG', 'Tarani Road --- FAC', 'GR --- GPE', 'MiG RR Nagari Mandal --- ORG', 'Chittoor Dist --- PERSON', 'A.P. cea --- PERSON', 'Vasu --- PERSON', '36 Date aro --- DATE', 'Yoor\n --- PERSON', '500 --- CARDINAL', '20 --- CARDINAL', '7 --- CARDINAL', 'UK --- GPE', 'Dhajgama_\n --- ORG']"
120,"['4 --- CARDINAL', 'ce Batteries Limited\n --- ORG', 'Lee os cs --- PERSON', '4 --- CARDINAL', 'Se te Tirupati --- PERSON', 'Andhra --- GPE', 'Pradesh --- GPE', 'India --- GPE', '0877 --- CARDINAL', '2265000 --- CARDINAL', 'amararaja@amararaja.co.in --- EMAIL', 'ARO-mHE --- PERSON', 'ae ae le\n --- ORG', '5 --- CARDINAL', ""Belonow Winding's --- PERSON"", 'two --- CARDINAL', 'ko\n --- ORG', 'Whantiishoy iss ENO | ort --- PERSON', 'eee joa --- PERSON', 'Teen eS < tes --- PERSON', 'Sess pra --- PRODUCT', 'Fie St --- FAC', 'Laie --- GPE', 'amare SS --- PERSON', 'rae ee --- PERSON', '5 --- CARDINAL', 'ae Side --- ORG', '2 --- CARDINAL', 'SA\n| --- LAW', '3 --- CARDINAL', 'Z w~ --- PERSON', 'ee eee Cos --- ORG', 'ee le Do --- ORG', '9 --- CARDINAL', 'Pe Soy NaN --- PERSON', 'Saas --- ORG', '3 --- CARDINAL', '1 $ --- MONEY', '¥ 2 --- CARDINAL', 'ite\n --- ORG', 'Lege CGR --- PERSON', 'F VG ee --- PRODUCT', 'n2 Sore een --- FAC', 'Ryne cl ln --- PERSON', 'ANAS --- ORG', 'Ose --- ORG', 'ae eas ene 2 --- PRODUCT', 'CN --- ORG', 'ws SNS Si --- ORG', 'Ree\n --- ORG', '1 --- CARDINAL', 'Ste --- ORG', 'Lt oe eens --- ORG', 'e03\n --- PERSON', 'TERS --- PERSON', 'ei eeg --- ORG', 'NS Oe --- ORG', 'Ke oy --- PERSON', 'eS PS --- ORG', 'ES gees --- ORG', '2 --- CARDINAL', '= S --- ORG', '8 --- CARDINAL', '3 --- CARDINAL', '4 --- CARDINAL', 'Siotes ncharge --- PERSON', '3 --- CARDINAL', 'Sieh bocce --- PERSON', 'Pye Somes aa --- PERSON', 'wes --- PERSON', 'eee tis faire ora --- PERSON', 'NSIS Se cota Pets 27 --- ORG', 'SS --- ORG']"
121,"['Date 29-10-2018 --- DATE', 'ARBL CIRTIFICATE --- PERSON', 'ABD\n --- PERSON', '27.10.2018\n --- ORG', '15-10-2018 --- CARDINAL', '08-10-2018 --- CARDINAL', 'JIB Crane Travel Motor --- ORG', 'P.O. --- ORG', '10-10-2018 --- DATE', '12-10-2018 --- CARDINAL']"
122,"['Ge --- ORG', 'E00 WI SS\n --- ORG', '8897566117 --- CARDINAL', '01.11.2018 --- CARDINAL', '7 --- CARDINAL', 'Kumar\n --- PERSON', 'Mahasamudram(P --- ORG', 'AMARA RAJA BATTERIES LTD --- ORG', 'BANGARUPALYAM\nCHITTOOR - 517416 --- PERSON', '9 --- CARDINAL', 'Doh TM --- ORG', '12 --- CARDINAL', 'WMiv RLA --- GPE', 'Sevag --- GPE', 'Nav\nLoading --- ORG', 'rs --- ORG', 'Pe Wctrerrisccisad tA eavscantcness --- PERSON', 'Pdisevccecicsocalt ree cakucancniais --- ORG', 'Rb cnhacen oer --- PERSON', 'eens\n --- ORG', 'RS --- ORG', 'Kumar\n --- PERSON']"
123,"['BILL FORMS\n --- ORG', 'A. LAGNA --- PERSON', 'ARBL --- ORG', '02 --- CARDINAL', 'Sqm Sqm --- ORG', 'Rs --- ORG', 'the month of Oct 2018 --- DATE', 'Total Scrap --- ORG', 'fifteen thousands --- CARDINAL']"
124,"['mee\nete P --- ORG', '1 --- CARDINAL', 'ISBU --- ORG', '19-06\n --- PERCENT', 'Kumar\n --- PERSON', 'Noonegundlapalli(v --- PERSON', '2200011483 --- DATE', 'the month of Oct 2018 --- DATE', 'Bill\n --- PERSON', '15,000 --- CARDINAL', '01.10.2018 --- CARDINAL']"
125,"['Se\nq --- ORG', 'vad ar | --- PERSON', '53 --- CARDINAL', '5 5 --- DATE', '3 --- CARDINAL', 'TTT --- ORG', 'Wh\n --- PERSON', 'IIL Mt --- ORG', 'D li ti NE --- PERSON', 'Unt el Ta FF\n --- PERSON', 'HN --- ORG', 'EE\n --- ORG', 'il WIL Tt --- PERSON', 'li Ty ij gs --- PERSON', 'WITT TT ity ill --- PERSON', 'tls ne S\n --- ORG', 'HS Ht --- WORK_OF_ART', 'Sh fe te --- PERSON', 'ei\nKN --- ORG', 'ATE\n --- ORG', '3 --- CARDINAL']"
126,"['ave toaisncs AVG LOGISTICS LIMITED --- PRODUCT', 'Branch: > --- BRANCH', 'STEPAHEAD --- ORG', '102 --- CARDINAL', 'First Floor --- ORG', 'SBI Bank --- ORG', 'Jhilmil Metro Station Complex --- ORG', '4 --- CARDINAL', '011-22124356 --- CARDINAL', '8527291062 --- CARDINAL', 'FSSAI Lic --- ORG', '10012011000170 --- CARDINAL', 'SST OA 872 --- PRODUCT', '5 £ --- MONEY', 'fy -\n: --- ORG', 'Osay\n --- PERSON', 'GST --- ORG', '9 --- CARDINAL', 'GST --- ORG', 'Coe Tees --- LAW', 'Lin --- PERSON', '1 --- CARDINAL', 'ty ft --- PERSON', 'tj --- PERSON', 'un --- ORG', 'tbe OD APDSUNATN --- PERSON', 'Rihara Rajg --- PERSON', 'Bangerupalyam, Consignor’s GSTIN --- ORG', 'ecsessssserssssees Ae --- ORG', 'P.\n --- PERSON', 'HSN Code of Goods Description --- LAW', 'onsignee desc --- PERSON', '5 # Declared --- MONEY', 'Aner --- PERSON', 'Cys enon] | --- PERSON', '4 --- CARDINAL', 'PIA --- ORG', 'OAD --- ORG', 'Z eno --- PERSON', 'G. SE\n} | --- PERSON', 'VRAD --- ORG', 'ui\n --- ORG', '4 60S --- DATE', 'Par --- ORG', '4 --- CARDINAL', '5 --- CARDINAL', 'Booking Ott --- PERSON']"
127,"['Oe --- ORG', '2 --- CARDINAL', 'the Transport Operator --- ORG', 'one --- CARDINAL', '9 --- CARDINAL', 'Lorry Receipt --- PRODUCT', 'Lorry Receipt --- PRODUCT', '2 --- CARDINAL', 'the Transport Operator --- ORG', 'the IBA Scheme --- LAW', 'Bank --- ORG', 'Member-Banks --- ORG', 'Bank --- ORG', 'Transport --- ORG', '=\n --- ORG', 'the\nOperator --- ORG', 'Bank --- ORG', 'matenal --- NORP', 'Bank --- ORG', 'Bank --- ORG', 'consignor --- ORG', 'the Transport Operator --- ORG', 'the Transport Operator --- ORG', 'Lorry Receipt | --- PRODUCT', 'Lorry\n3 --- PRODUCT', 'The Transport Operator --- ORG', 'Consi Bank --- ORG', 'Lorry\n --- ORG', 'gnee\n --- PERSON', 'the Consignee Bank --- ORG', 'rete\n --- ORG', 'the Transport Operator --- ORG', 'Mi Se etme --- PERSON', '12 --- CARDINAL', 'the \\\n --- ORG', 'the y ry wansport --- ORG', 'shail --- PERSON', 'eC\n --- ORG', 'the SCHEDULE OF DETENTION --- ORG', 'gan --- PERSON', 'Bank --- ORG', '15 days --- DATE', 'today --- DATE', 'Rs --- ORG', ""the Transport Operator's --- ORG"", 'the day --- DATE', 'Truck @ Rs --- ORG', 'iL 4 --- ORG', 'mM --- PERSON', 'wae --- GPE', 'eelag --- PERSON', '9 --- CARDINAL', 'poi --- PERSON', 'abeigbe --- PERSON', ""Carrier's Risk --- PRODUCT"", '1 --- CARDINAL', 'Rs --- PERSON', 'every hundred rupees --- MONEY', 'att --- ORG', '° --- CARDINAL', 'ro Consignor --- ORG', 'ro ehh PD ANB\n --- ORG', '48 hours --- TIME', 'Declaration By Consignor --- WORK_OF_ART', 'phi Transport --- ORG', '30 --- CARDINAL', 'Sahel --- GPE', 'Receiptare --- PERSON', 'the Consignee Bank --- ORG', '15 days --- DATE', '6 --- CARDINAL', '7 --- CARDINAL', 'Bank --- ORG', 'Bank --- ORG', 'CONSIQNOS --- ORG']"
128,"['Renig --- ORG', 'unta@avglogistics.com --- EMAIL', 'Venkatamuni Reddy B --- PERSON', 'ovmr@amararaja.co.in --- EMAIL', 'Friday, October 19, 2018 --- DATE', '4:45 PM --- TIME', 'AVGRENIGUNTA --- PERSON', 'renigunta@avglogistics.com --- EMAIL', 'rajeshmehra.116@gmail.com --- EMAIL', 'rajeshmehra.116@gmail.com --- EMAIL', 'rajeshkumar@avglogistics.com --- EMAIL', 'Chandra Babu R --- PERSON', 'Gopi Maniam --- PERSON', 'Sekhar Babu T --- PERSON', 'Chandra Bhaskar K --- PERSON', 'Parandhama Naidu K --- PERSON', 'Renu Kumar V --- PERSON', 'image005.gif --- ORG', 'image006.png\nDear Rajesh --- ORG', 'PI --- ORG', 'ARGC --- ORG', 'Chittoor --- PERSON', 'tomorrow --- DATE', '12 noon --- TIME', 'tomorrow --- DATE', 'ARBL --- PERSON', 'Veerullapadu Mandal --- ORG', 'Krishna\n: --- ORG', '135 --- CARDINAL', '137 --- CARDINAL', '139 --- CARDINAL', '521181 --- CARDINAL', 'Pradesh --- GPE', 'India --- GPE', 'bymr@amararaja.co.in --- EMAIL', '9885790822 --- CARDINAL']"
129,"['¢ --- CARDINAL', 'AVG Transport --- ORG', 'Km --- CARDINAL', 'Km --- CARDINAL', '| Ge --- PERSON', '| Re --- PERSON', '4 --- CARDINAL', '2 --- CARDINAL', 'Jaipur --- GPE', 'Jodhpur --- GPE', '95.000 --- CARDINAL', '2456 Kms --- QUANTITY', '16 --- CARDINAL', '477 --- CARDINAL', 'Khalapur / Roha / Mahad / Pune --- ORG', '3,000 --- MONEY', '53,000 --- CARDINAL', '1259 Kms --- QUANTITY', '1612 --- MONEY', '51,612 --- CARDINAL', '1481 kms --- QUANTITY', '4 --- CARDINAL', '44,010 --- CARDINAL', '13-0ct 16 --- DATE', 'MPOSHHO305| --- PERSON', '7 --- CARDINAL', 'Seoni -   --- ORG', '4,000 --- CARDINAL', '1186s --- CARDINAL', '= --- ORG', 'Hani | | sl --- PERSON', 'Bhopal --- GPE', 'Hosangabad --- PERSON', 'Near --- ORG', '6 13-0ct | 16 --- DATE', '21 --- CARDINAL', '44,220 --- CARDINAL', '0a 16 sll % --- PERCENT', 'HO katoi --- PERSON', '2 --- CARDINAL', '6,000 --- MONEY', '1531 Kms --- QUANTITY', '¢ - 4 --- DATE', 'npomaags --- PERSON', 'srkakutam a. | --- PERSON', '45,000 --- CARDINAL', '1 --- CARDINAL', 'sKhurati Mod --- ORG', '68,500 --- CARDINAL', '8500 --- CARDINAL', '1535 --- CARDINAL', 'a2\n --- ORG', '10 13-0ct| --- DATE', '44,220 --- CARDINAL', '“ - 9% --- PERCENT', '748,200 --- CARDINAL', 'Bhopal --- GPE', 'Abadi --- PERSON', 'Blan --- PERSON', '13-0ct --- DATE', 'APOSTE73aa HO Rewa - 68,800 --- PERSON', '68,500 --- MONEY', '1571 kms --- QUANTITY', '60,000 ¥-4 --- MONEY', '60,000 --- CARDINAL', '1711 Kms --- QUANTITY', '21,000 --- CARDINAL', '21,000 --- CARDINAL', '477 Kms --- QUANTITY', 'rer\n --- ORG', '2 --- CARDINAL', 'Cochin --- GPE', '2 --- CARDINAL', '16 --- CARDINAL', '2 --- CARDINAL', 'SSSA --- ORG', '40,000 --- CARDINAL', '3218 --- CARDINAL', '16140 --- CARDINAL', 'Uravakonda --- ORG', '89,800 --- CARDINAL', '119,500 --- CARDINAL', '545 Kms --- QUANTITY', 'Khargone --- PERSON', '1311 Kms --- QUANTITY', '18 --- CARDINAL', '01 --- CARDINAL', '1192 Kms --- QUANTITY', '21 --- CARDINAL', '2 4 --- CARDINAL', 'aoe\n --- ORG', 'NLOLAB7707_—s1 --- ORG', 'Sriganganagar --- ORG', '87,486 --- CARDINAL', '9,328 --- CARDINAL', '96,814 --- CARDINAL', 'Jaipur --- GPE', 'Sriganganagar --- GPE', '2% --- PERCENT', '49,195 4 - --- QUANTITY', '51,195 --- MONEY', 'Jabalpur Contract Rate & 1 Add --- ORG', 'Point\n --- ORG', 'niin --- ORG', 'ype --- ORG', 'SS --- ORG', '1 --- CARDINAL', 'Ho loo --- WORK_OF_ART', 'han --- NORP', '3,000 --- CARDINAL', '23 --- CARDINAL', '1 --- CARDINAL', '67,000 --- CARDINAL', '1765 kms --- QUANTITY', '3 --- CARDINAL', 'HO Udaipur --- GPE', '28,000 --- CARDINAL', '98,000 --- CARDINAL', '2140 --- CARDINAL', '6 --- CARDINAL', 'Veerulapady ARGC --- PERSON', '200% --- PERCENT', '603 Kms --- QUANTITY', 'wubb --- ORG', 'HOD - Logistics Sr --- ORG']"
130,"['9118049349 --- CARDINAL', 'lo\n --- ORG', '3 --- CARDINAL', 'fy) --- ORG', 'AMARA RAJA --- PERSON', 'td ti(‘isdr\nCORP. --- ORG', '25 --- CARDINAL', 'SAVITA VIHAR --- PRODUCT', 'DELHHD.N.-13/19/01 --- INVOICEDATE', 'Vinayaka Nagar --- PERSON', 'Renigunta N --- GPE', 'dlapalli Ba --- PERSON', 'lyam Chittoor --- PERSON', 'A.P.\n --- ORG', 'CIN --- ORG', 'Chittoor Dist. --- PERSON', 'Cale --- PERSON', '102 --- CARDINAL', 'Jhilmil Metro Station Complex --- ORG', 'ovanicasessaizz\n --- PERSON', 'Shipmen --- PERSON', 'Km --- CARDINAL', 'Trans --- PRODUCT', 'Rs --- ORG', 'Rs --- ORG', 'Rs --- ORG', 'Rs --- ORG', 'Weight Rs --- PERSON', 'Rs --- ORG', 'al ii --- PERSON', 'a8 --- ORG', '280 --- CARDINAL', '26,880 --- CARDINAL', 'CT CTT Ce --- ORG', 'ei --- ORG', 'ed Se\n --- PERSON', '22 --- CARDINAL', '_ Pe --- PERSON', '2 --- CARDINAL', 'ae ee\n --- ORG', 'sae i --- PERSON', 'Oe Sa Se --- PERSON', 'Jeri --- PERSON', '300 --- CARDINAL', '2 --- CARDINAL', 'J\n --- PERSON', 'C*d\n --- ORG', 'Semitic --- NORP', 'zzanaa founo | dat commecenaersetanceedzano --- PERSON', 'serdeanrountngendetsacyssoemnn Cwjiampawey | | | --- EVENT', 'Ia --- GPE', '2 --- CARDINAL', 'KC\nceceme --- ORG', 'mnteatorinence Lin --- PERSON', 'RECEPIENT --- ORG', 'Sted --- PERSON', 'Financ LD --- ORG', '3 4 --- CARDINAL', 'ayid\n --- PERSON', '6 --- CARDINAL', 'iG‘ Le --- ORG', '4 --- CARDINAL', 'i= --- ORG', 'lofised Sidnato --- PERSON', 'Yeon 1.0 --- PERSON', 'bhi Mill f.\n= --- ORG', '2S --- CARDINAL', 'a Ss Sa --- PERSON']"
131,"['Dekyew\n --- ORG', 'vctociscs AVG LOGISTICS LIMITED Brapohesi\\h --- ORG', 'Wwe ASTEPAHEAD --- PRODUCT', '102 --- CARDINAL', 'First Floor --- ORG', 'SBI Bank --- ORG', 'Jhilmil Metro Station Complex --- ORG', '7 --- CARDINAL', '011-22124356 --- CARDINAL', '8527291062 --- CARDINAL', '|\n --- PERSON', 'IBA --- ORG', 'GTA --- ORG', '429352 --- CARDINAL', 'cag --- PRODUCT', 'Ades --- PERSON', 'Exemptea --- PERSON', '2 --- CARDINAL', 'Lf |\n --- ORG', 'Vom Mi --- FAC', 'bef SA --- PERSON', '2 --- CARDINAL', 'AP --- ORG', 'mara Raia Hatieries Li dee --- PERSON', 'MT | --- EVENT', 'Sr rere --- PERSON', 'rag | Onin Swoon --- WORK_OF_ART', 'WOH ea\n --- ORG', 'ccsceseccesseesees\n --- ORG', 'pg --- ORG', 'SE BSC --- ORG', 'Tex --- PERSON', 'Slitients --- PERSON', '100 00\n --- PERCENT', '3 --- CARDINAL', 'ANCE --- ORG', 'Piet Wat --- PERSON', 'Gey\n --- ORG', 'ORG\nSignature of Consignor --- LAW', 'satpnccaseiss Gaara --- PERSON']"
132,"['J -\n --- ORG', 'the Transport Operator --- ORG', 'one --- CARDINAL', '9 --- CARDINAL', 'Lorry Receipt --- PRODUCT', 'Lorry Receipt --- PRODUCT', '2 --- CARDINAL', 'the Transport Operator --- ORG', 'the IBA Scheme --- LAW', 'Bank --- ORG', 'Member-Banks --- ORG', 'Bank --- ORG', 'Transport --- ORG', 'deliverethie --- PERSON', 'carriage --- ORG', 'the Transport Operator --- ORG', 'Bank --- ORG', 'Bank --- ORG', 'Bank --- ORG', 'consignor --- ORG', 'the Transport Operator --- ORG', 'the Transport Operator --- ORG', '3 --- CARDINAL', 'The Transport Operator --- ORG', 'the Consignee Bank --- ORG', 'this Lorry\n --- ORG', 'the Consignee Bank --- ORG', 'Transpon --- NORP', 'Ohobaore --- ORG', 'efi coke oimiot Someyes --- PRODUCT', 'ane --- PERSON', 'nfemnastoiten --- GPE', 'ane We --- ORG', '11 --- CARDINAL', '2 --- CARDINAL', 'omreyenl --- ORG', 'CRTNRGOE --- ORG', 'Lorry --- PRODUCT', 'Bank --- ORG', '15 days --- DATE', 'today --- DATE', 'Rs --- ORG', '5’- --- CARDINAL', ""the Transport Operator's --- ORG"", 'the day --- DATE', 'Truck @ Rs --- ORG', '5 --- CARDINAL', '° --- CARDINAL', 'this Lorry Receipt --- TIME', 'The Transport Operator --- ORG', ""Carrier's Risk --- PRODUCT"", 'Rs --- ORG', 'every hundred rupees --- MONEY', 'Vv ‘ du --- ORG', 'Tran pee --- PERSON', 'Pend --- ORG', 'Po ce\n --- ORG', '48 hours --- TIME', 'Declaration By Consignor\n --- WORK_OF_ART', 'tnt --- ORG', 'the Transport Operator --- ORG', 'co ed --- PERSON', 'Consignment --- ORG', 'es core 30 --- PRODUCT', 'ines eae --- WORK_OF_ART', 'the Lorry Receipt --- WORK_OF_ART', 'p\nconsignor --- ORG', 'the Consignee Bank --- ORG', '| 24 --- LAW', '15 days --- DATE', 'OE\n8 --- ORG', '7 --- CARDINAL', 'Bank --- ORG', 'Efoeedte Sn --- ORG', 'Dee ATE --- PERSON', 'De Ares\n --- ORG', 'tolhir inns AG Phetaale --- ORG', 'Scop --- PERSON', 'Mir --- FAC', 'PANGARU --- ORG', 'Sh\n --- ORG']"
133,"['Non Contract Destinations Special --- ORG', '7 --- CARDINAL', 'Express Slatin\n --- ORG', 'AVG Transport --- ORG', '7 --- CARDINAL', 'Km Kr --- QUANTITY', '56 Kms --- QUANTITY', '1 --- CARDINAL', '4 --- CARDINAL', '95.000 --- CARDINAL', '24 --- CARDINAL', 'F 4 --- LAW', 'SSS --- ORG', 'Fj --- ORG', '95 --- CARDINAL', '1 --- CARDINAL', '1259 Kms --- QUANTITY', 'Jaipur --- GPE', 'Jochpur --- GPE', 'TE --- PRODUCT', 'Li --- PERSON', 'UF --- ORG', '4 --- CARDINAL', '1481 Kms --- QUANTITY', '1 --- CARDINAL', '477 --- CARDINAL', 'Roha / Mahad / Pune --- ORG', '51,612 --- CARDINAL', '5 --- CARDINAL', '3 --- CARDINAL', '51,612 --- CARDINAL', '7 --- CARDINAL', '4 KO | shajopur --- DATE', '7 --- CARDINAL', 'Oe --- ORG', '7 --- CARDINAL', '0 --- CARDINAL', '4 --- CARDINAL', 'mae --- ORG', '49,000 --- CARDINAL', 'Bhopal --- GPE', 'Hosangabad --- PERSON', 'Near --- ORG', '5 --- CARDINAL', 'FA --- ORG', 'pcoaty ra --- PERSON', 'vee --- PERSON', 'Tiaen ee --- PERSON', 'es\n --- ORG', '44,220 --- CARDINAL', '7 $8,000 --- MONEY', '1531 Kms --- QUANTITY', '44 --- CARDINAL', 'sj hy JS --- PERSON', 'Rau --- PERSON', 'Te Hebd\n --- ORG', '6 -0et) --- DATE', '° 56,000 --- CARDINAL', '45,000 --- CARDINAL', '2 3 --- CARDINAL', 'UNNS™ --- PERSON', '45,000 --- CARDINAL', '7° --- QUANTITY', '1535 Kms --- QUANTITY', '2 --- CARDINAL', '18200 --- CARDINAL', 'HO churati --- PERSON', 'Pz - 4 --- ORG', 'Bagot --- PERSON', '1571 kms --- QUANTITY', '44,220 --- CARDINAL', '90 1 --- CARDINAL', 'Son L\n --- ORG', 'HO Abadi - --- PERSON', '10 130 16 --- CARDINAL', '68,500 --- CARDINAL', '7 --- CARDINAL', '1711 Kms --- QUANTITY', '11 --- CARDINAL', '13-0ct 16 --- DATE', '60,000 --- CARDINAL', '|/ --- ORG', '2,000 --- CARDINAL', 'ee -\n+ --- ORG', 'Biaora sasha oe | | --- PERSON', 'a. Aan --- PERSON', 'Allappey --- GPE', '21,000 --- CARDINAL', 'Wien pe | pon --- PERSON', '43 --- CARDINAL', '|ae0c --- PRODUCT', '16 --- DATE', '2 1982 --- DATE', '21118 Kms --- QUANTITY', 'Cochin --- GPE', '° 4,500 --- DATE', '545 Kms --- QUANTITY', 'sae a ora --- PERSON', '40,000 --- CARDINAL', '7 --- CARDINAL', '7 --- CARDINAL', 'ac ware nate --- PERSON', 'Th aot --- PERSON', 'Koregaon --- GPE', 'Ef --- ORG', '1 --- CARDINAL', 'ieee\n --- ORG', '16 | --- PERSON', '2 --- CARDINAL', '740,000 --- CARDINAL', '2238 kms --- QUANTITY', '16 --- CARDINAL', '41,000 --- CARDINAL', 'SF Becnsiie --- GPE', '7 105,000 --- CARDINAL', 'Kms 424\n --- PERCENT', 'Jaipur --- GPE', 'Sriganganagat --- PERSON', 'AddPoint\n --- ORG', '9 4 --- CARDINAL', '18 --- CARDINAL', 'Arce --- PERSON', '22 --- CARDINAL', '51,195 --- CARDINAL', '21 --- CARDINAL', 'Fra --- ORG', '53,000 --- CARDINAL', '1790 kms --- QUANTITY', '2750p --- CARDINAL', 'Chindwara / Jabalpur ween --- ORG', '4 --- CARDINAL', '27 --- CARDINAL', '67,000 --- CARDINAL', '21 --- CARDINAL', '/17-0ct --- DATE', '16 --- CARDINAL', '2% --- PERCENT', '5300 --- CARDINAL', '2140 kms --- QUANTITY', '22 17-0ct --- DATE', '16 --- CARDINAL', '3 --- CARDINAL', '2 --- CARDINAL', '603 Kms --- QUANTITY', '17-0ct --- DATE', '16 --- CARDINAL', 'Udaipur --- GPE', 'Banswara --- GPE', '2 --- CARDINAL', '24,000 --- MONEY', 'Per Marte\n24 | 30-Sep_ + | --- ORG', '24,000 --- CARDINAL', 'pa ee\n --- ORG', '6 --- CARDINAL', 'Veerullapadu ARGC --- PERSON', 'Sa\n --- ORG', '25 20-00 16 --- DATE', '-4 --- ORG', '19 --- CARDINAL', 'RR\n --- ORG', 'HOD - Logistics\n --- ORG']"
134,"['Renigunta@avglogistics.com --- EMAIL', 'Venkatamuni Reddy B --- PERSON', 'ovmr@amararaja.co.in --- EMAIL', 'Thursday, October 25, 2018 --- DATE', '5:46 PM --- TIME', 'AVGRENIGUNTA --- PERSON', 'renigunta@avglogistics.com --- EMAIL', 'rajeshmehra.116@gmail.com --- EMAIL', 'rajeshmehra --- PERSON', '16@gmail.com --- EMAIL', 'Chandra Bhaskar K --- PERSON', 'Chalapathi C V --- ORG', 'Bhanu Prakash A --- ORG', 'Gopi Maniam --- PERSON', 'Muneeswara Naidu B --- PERSON', 'Raghavendra Rao T --- PERSON', 'Subramanyam G --- PERSON', 'Chandra Babu R --- PERSON', 'Divya S\n --- ORG', 'gif --- ORG', 'Rajesh --- PERSON', 'one --- CARDINAL', '16 --- CARDINAL', 'MT --- LOC', 'ARGC --- ORG', 'Chittoor --- PERSON', 'tomorrow --- DATE', 'Veerullapadu Mandal --- ORG', 'Krishna\n --- ORG', '135 --- CARDINAL', '137 --- CARDINAL', '139 --- CARDINAL', '521181 --- CARDINAL', 'Pradesh --- GPE', 'India --- GPE', 'bymr@amararaja.co.in --- EMAIL', '9885790822 --- CARDINAL', '8074488944 --- CARDINAL', '0877 --- CARDINAL', 'Extn --- ORG', '7413 1 --- DATE']"
135,"['Location of Supplier --- ORG', '~=SSSCiRNG BPE --- PERSON', 'CS\n --- ORG', 'GATTERESTD fmekedae --- PERSON', 'CYTSC --- ORG', 'C(CSYSC<‘CO?t”S\n --- ORG', 'Ud --- PERSON', 'Ee ds eee ot --- PERSON', 'edd oe\n --- ORG', 'Se nd ee oe --- PERSON', '0 --- CARDINAL', '2 --- CARDINAL', 'BOLEROI --- ORG', 'JOMTI --- PERSON', '50 --- CARDINAL', '7 --- CARDINAL', '192.18 --- CARDINAL', '996791 --- CARDINAL', 'TaxabieVae --- ORG', '24000 --- CARDINAL', 'Nm romurax | 800 --- GPE', 'Ly sother --- PERSON', 'donyoat ru --- PERSON', 'Mppyc TAX CRED OF --- ORG', 'PEF RVETOGISTICS LTD OY --- ORG', 'ane\n --- PERSON', '35 --- DATE', 'Aitnrised Sansa OC --- PERSON', '2 --- CARDINAL']"
136,"['averosisics AVG LOGISTICS LIMITED\n102 --- ORG', 'First Floor --- ORG', 'SBI Bank --- ORG', 'Jhilmil Metro Station Complex --- ORG', 'S |\n --- ORG', '011 --- CARDINAL', '8527291062 --- CARDINAL', 'F SAGenit\n --- PRODUCT', '3 --- CARDINAL', 'DESTINATION --- CARDINAL', 'Sab Ev --- PERSON', 'O7AAICAI669A1ZZ --- ORG', 'yin tn --- PERSON', '243 --- CARDINAL', '7 --- CARDINAL', 'lowtee dh MO --- ORG', '2 --- CARDINAL', 'Po WA Nott treo --- ORG', 'Siteov SEAABCE FOS Cyr --- PERSON', 'EoGo ener} --- PERSON', '150/00\n --- ORG', '30 --- CARDINAL', 'HN --- ORG', 'Teer --- PERSON', '10000 --- CARDINAL', 'Valu snnd --- PERSON', 'tart --- PERSON', 'SM --- ORG', 'oe\n --- ORG', 'Topay --- ORG']"
